description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
budget code does not align with course and subject on concurrent enrolled master list from USHE,Database,Failure,,C11,C11b,Course,c_budget_code,Not on CEML,"INTO #c11b
FROM courses_' + @extract + '
WHERE c_crs_sbj+c_crs_num NOT IN
(select sbj+num
FROM ccenroll.dbo.cc_master_list
where inst = @inst and year = LEFT(@instance,4))
and c_budget_code in (''BC'', ''SF'')
and c_instance = @instance
and c_inst = @inst
AND c_extract = ''3''
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrsccd_sccd_code,ssrsccd_activity_date,student_section.budget_code
invalid delivery method,Database,Failure,,C12,C12,Course,c_delivery_method,Checking for valid values IN c_delivery_method.,"INTO #c12
FROM courses_' + @extract + '
WHERE c_delivery_method not in (Select distinct d_method_code From Reference.dbo.Delivery_Method where Inactive <> ''Y'')
and c_extract = ''3''
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_insm_code,ssbsect_activity_date,student_section.instruction_method_code
invalid program type and missing program type,Database,Failure,,C13,C13,Course,c_program_type,Checking for invalid program types.,"INTO #c13
FROM courses_' + @extract + '
WHERE (c_program_type NOT IN (Select distinct Program_type_code from Reference.dbo.Program_Type where Inactive <> ''Y'') OR c_program_type is null OR c_program_type = '''')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbsupp_occs_code,n/a,course.program_type
invalid program type against perkins list,USHE,Failure,,C13,C13a,Course,c_program_type,checks validity of c_program_type against perkins list.,"INTO #c13a
FROM courses_' + @extract + '
WHERE c_crs_sbj+c_crs_num NOT IN (select p_crs_sbj+p_crs_num FROM perkins..PERKINS_COURSES_2015_forward where p_inst = @inst and p_year = LEFT(@instance,4) and p_term = left(right(@instance,2),1) and Inactive != ''Y'')
and c_instance = @instance
and c_inst = @inst
AND c_program_type in (''V'', ''P'')
AND c_extract = ''3''
AND c_inst not in (''3676'', ''3677'')
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbsupp_occs_code,n/a,course.program_type
invalid budget code again perkins list,USHE,Failure,,C13,C13c,Course,c_program_type,"checks for courses allowed on perkins list, but not currently coded to vocational","INTO #c13c
FROM courses_' + @extract + '
WHERE c_crs_sbj+c_crs_num IN (select p_crs_sbj+p_crs_num from perkins..PERKINS_COURSES_2015_forward where p_inst = @inst and p_year = LEFT(@instance,4) and p_term = left(right(@instance,2),1) and Inactive != ''Y'')
and c_instance = @instance
and c_inst = @inst
AND c_program_type NOT IN (''P'',''V'')
AND c_inst not in (''3676'', ''3677'')
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbsupp_occs_code,n/a,course.program_type
invalid credit indicator,USHE,Failure,,C14,C14a,Course,c_credit_ind,Checking for valid values for c_credit_ind.,"INTO #c14a
FROM courses_' + @extract + '
WHERE (c_credit_ind NOT IN (''C'',''N'') OR c_credit_ind is null)
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scrlevl_levl_code = 'NC',n/a,course.course_level_id
credit indicator and section format type do not align,USHE,Failure,,C14,C14b,Course,"c_credit_ind, c_instruct_type",NON-CREDIT COURSES IN 3RD WEEK,"INTO #c14b
FROM COURSES_' + @extract + '
WHERE C_CREDIT_IND = ''N''
AND c_extract = ''3''
AND c_instruct_type != ''LAB''
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.ssbsect_schd_code, banner.scrlevl_levl_code = 'NC'",ssbsect_activity_date,"course.course_level_id, student_section.section_format_type_code"
invalid non-credit class based on program type and budget code,USHE,Failure,,C14,C14c,Course,"c_credit_ind, c_instruct_type, c_program_type",Only Labs and Vocational non-credit classes can be submitted,"INTO #c14c
FROM COURSES_' + @extract + '
WHERE C_CREDIT_IND = ''N''
AND c_extract = ''E''
AND c_instruct_type != ''LAB''
AND c_program_type not in (''P'',''V'')
AND c_budget_code not in (''BV'',''SQ'') --added 11/07/19 by Mike Palica to exclude STIT/Custom Fit courses from triggering this error
AND c_crs_sbj +'' ''+ c_crs_num not in (Select distinct ETPL_CIP_USHE from Reference.dbo.ETPL where ETPL_Inst_Code = @inst and Inactive = ''N'')
AND c_instance = @instance
AND c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.scbsupp_occs_code, banner.scrlevl_levl_code = 'NC', banner.ssbsect_schd_code",scbsupp_activity_date,"course.program_type, course.course_level_id, student_section.section_format_type_code"
missing start time,Database,Failure,,"C15, C23, C31","C15a, C23a, C31a",Course,"c_start_time, c_start_time2, c_start_time3",Courses Start Time conditionally required,"INTO #c15a
FROM courses_' + @extract + '
WHERE (c_start_time is NULL or c_start_time = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_num, c_room_num, c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrmeet_begin_time,ssrmeet_activity_date,section_schedule.meet_start_time
missing end time,Database,Failure,,"C16, C24, C32","C16a, C24a, C32a",Course,"c_stop_time, c_stop_time2, c_stop_time3",Courses Stop Time conditionally required,"INTO #c16a
FROM courses_' + @extract + '
WHERE (c_stop_time is NULL or c_stop_time = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_num, c_room_num, c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrmeet_end_time,ssrmeet_activity_date,section_schedule.meet_end_time
missing course meeting days,USHE,Failure,,"C17, C25, C33","C17a, C25a, C33a",Course,"c_days, c_days2, c_days3",Courses Days conditionally required,"INTO #c17a
FROM courses_' + @extract + '
WHERE (c_days is NULL or c_days = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_num, c_room_num, c_crs_sbj, c_crs_num, c_crs_sec","banner.ssrmeet_sun_day, etc...",n/a,section_schedule.is_meets_sunday etc...
building name and number are the same,Database,Failure,,"C18, C26, C34","C18, C26, C34",Course,"c_bldg_sname, s_bldg_num, c_bldg_sname2, c_bldg_sname3",BLDG Name and number are the same,"INTO #c18
FROM courses_' + @extract + '
WHERE c_instance = @instance
and c_inst = @inst
and c_bldg_sname = c_bldg_num
and c_bldg_num is not null
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.ssrmeet_bldg_code, space_utlz.building_detail.bldg_number",ssrmeet_activity_date,"section_schedule.meeting_building_id, section_schedule.building_number"
missing building name,Database,Failure,,"C18, C26, C34","C18a, C26a, C34a",Course,"c_bldg_sname, c_bldg_sname2, c_bldg_sname3",BLDG SName conditionally Required,"INTO #c18a
FROM courses_' + @extract + '
WHERE (c_bldg_sname is NULL or c_bldg_sname = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_num, c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrmeet_bldg_code,ssrmeet_activity_date,section_schedule.meeting_building_id
missing building number,Database,Failure,,"C19, C27, C35","C19a, C27a, C35a",Course,"c_bldg_num, c_bldg_num2, c_bldg_num3",BLDG NUM conditionally required,"INTO #c19a
FROM courses_' + @extract + '
WHERE (c_bldg_num is NULL or c_bldg_num = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_sname, c_crs_sbj, c_crs_num, c_crs_sec",space_utlz.building_detail.bldg_number,bldg_activity_date,section_schedule.building_number
building number not in building table,Database,Failure,,"C19, C27, C35","C19c, C27c, C35c",Course,"c_bldg_num, c_bldg_num2, c_bldg_num23",BLDG NUM not in Building Inventory,"Into #b_nbr_c19c
From Loads.dbo.Buildings_ext2020
Where b_inst = @inst
Group by b_inst, b_number
Order by b_inst, b_number",space_utlz.building_detail.bldg_number,bldg_activity_date,section_schedule.building_number
building number not in rooms inventory,Database,Failure,,"C19, C27, C35","C19d, C27d, C35d",Course,"c_bldg_num, c_bldg_num2, c_bldg_num23",BLDG NUM not in Rooms Inventory,"INTO #c19d
FROM courses_' + @extract + ' c
left join #r_nbr_c19d r on (c.c_inst = r.r_inst and c.c_bldg_num = r.r_build_number)
Where r.r_build_number is null
and c_bldg_num is not null
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_sname, c_crs_sbj, c_crs_num, c_crs_sec",space_utlz.building_detail.bldg_number,bldg_activity_date,section_schedule.building_number
building room is missing,Database,Failure,,"C20, C28, C36","C20a, C28a, C36a",Course,"c_room_num, c_room_num2, c_room_num3",BLDG Room conditionally required,"INTO #c20a
FROM courses_' + @extract + '
WHERE (c_room_num is NULL or c_room_num = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_budget_code <> ''SF''
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_bldg_num, c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrmeet_room_code,ssrmeet_activity_date,section_schedule.meet_room_number
invalid room max,Database,Failure,,"C21, C29, C37","C21a, C29a, C37a",Course,"c_room_max, c_room_max2, c_room_max3",C_Room_Max Invalid,"Into #c21a
FROM courses_' + @extract + '
Where (cast(C_ROOM_MAX as float) = ''''
or len(C_ROOM_MAX) > ''4''
or cast(C_ROOM_MAX as float) > ''9999''
or cast(C_ROOM_MAX as float) < ''0''
or C_ROOM_MAX like ''%[^0-9]%'' )
and C_ROOM_MAX <> ''0''
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_max_enrl,ssbsect_activity_date,maximum_room_occupancy.student_section
invalid room use type,Database,Failure,,"C22, C30, C38","C22a, C30a, C38a",Course,"r_room_type, c_room_type2, c_room_type3",Checking for valid values for c_room_type3,"INTO #c22a
FROM courses_' + @extract + '
WHERE c_room_type not in (Select distinct r_use_code From Reference.dbo.rooms_use_code where Inactive <> ''Y'')
and (c_room_type IS NOT NULL OR c_room_type <> '''')
and c_instance = @instance
and c_inst = @inst
Order by c_room_type, c_bldg_num, c_room_num, c_crs_sbj, c_crs_num, c_crs_sec",space_utlz.rooms_detail.room_use_code,room_activity_date,section_schedule.room_use_code
missing room use type,Database,Failure,,"C22, C30, C38","C22b, C30b, C38b",Course,"r_room_type, c_room_type2, c_room_type3",C_Room_type3 Missing,"INTO #c22B
FROM courses_' + @extract + '
WHERE (c_room_type is NULL or c_room_type = '''')
and c_delivery_method not in (''C'',''I'',''V'',''Y'')
and c_instruct_type in (''LEC'',''LEL'',''LAB'')
and c_site_type in (Select s_type_code from Reference.dbo.Site_Type where s_type_space_utilize = ''Y'' and Inactive = ''N'')
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_room_type, c_bldg_num, c_room_num, c_crs_sbj, c_crs_num, c_crs_sec",space_utlz.rooms_detail.room_use_code,room_activity_date,section_schedule.room_use_code
valid start date and end date format (Summer),Database,Failure,,"C39, C40","C39a, C40a",Course,"c_start_date, c_end_date",Checking for valid format for c_start_date,"INTO #c39a
FROM courses_' + @extract + '
WHERE (((left(c_start_date,4) != left('+ @instance +',4)-1))
OR left(right(c_start_date,4),2) NOT IN (''05'',''06'',''07'',''08'')
OR cast(right(c_start_date,2) AS INT) > 31
OR c_start_date IN (null,'''',''0''))
AND c_term =1
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.ssbsect_ptrm_start_date, banner.ssbsect_ptrm_end_date",ssbsect_activity_date,"section_schedule.meet_start_date, section_schedule_meet_end_date"
valid start date and end date format (Fall),Database,Failure,,"C39, C40","C39b, C40b",Course,"c_start_date, c_end_date",Checking for valid format for c_start_date.,"INTO #c39a
FROM courses_' + @extract + '
WHERE (((left(c_start_date,4) != left('+ @instance +',4)-1))
OR left(right(c_start_date,4),2) NOT IN (''05'',''06'',''07'',''08'')
OR cast(right(c_start_date,2) AS INT) > 31
OR c_start_date IN (null,'''',''0''))
AND c_term =1
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.ssbsect_ptrm_start_date, banner.ssbsect_ptrm_end_date",ssbsect_activity_date,"section_schedule.meet_start_date, section_schedule_meet_end_date"
valid start date and end date format (Spring),Database,Failure,,"C39, C40","C39c, C40c",Course,"c_start_date, c_end_date",Checking for valid format for c_start_date.,"INTO #c39c
FROM courses_' + @extract + '
WHERE ((left(c_start_date,4) != left('+ @instance +',4))
OR left(right(c_start_date,4),2) not IN (''01'',''02'',''03'',''04'',''05'')
OR cast(right(c_start_date,2) AS INT) > 31
OR c_start_date IN (null,'''',''0''))
AND c_term =3
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.ssbsect_ptrm_start_date, banner.ssbsect_ptrm_end_date",ssbsect_activity_date,"section_schedule.meet_start_date, section_schedule_meet_end_date"
missing course title,Database,Failure,,C41,C41a,Course,c_title,C_Title is null or missing,"Into #c41a
FROM courses_' + @extract + '
Where (c_title is null or c_title = '''')
and c_inst <> ''63'' --USHE builds the file
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbcrse_title,scbcrse_activity_date,course.title
invalid title format,USHE,Failure,,C41,C41b,Course,c_title,C_Title needs a minimum of 2 alpha characters together,"Into #c41b
FROM courses_' + @extract + '
Where (c_title is not null or c_title <>'''')
and c_title not like ''%[a-Z][a-Z]%''
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbcrse_title,n/a,course.title
invalid title format,USHE,Failure,,C41,C41d,Course,c_title,C_Title special charaters not allowed,"Into #c41d
FROM courses_' + @extract + '
Where (c_title is not null or c_title <>'''')
and c_title like ''%[^a-Z0-9 /&()+:.-]%''
and c_title not like ''%''''%'' -- this allows an apostrophe to be in the string
--and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbcrse_title,n/a,course.title
missing instructor,Database,Failure,,C42,C42a,Course,c_instruct_id,C_Instruct_ID is null or missing,"Into #c42a
FROM courses_' + @extract + '
Where (c_instruct_id is null or c_instruct_id = '''')
and c_inst <> ''63'' --USHE builds the file
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_instruct_name",banner.spriden_id,spriden_activity_date,section_instructor_assignment.instructor_employee_id
invalid instructor id format,Database,Failure,,C42,C42b,Course,c_instruct_id,"C_Instruct_ID is 9 Characters, so should be using an Alpha character to start, this makes sure it is not Instructors SSN","Into #c42B
FROM courses_' + @extract + '
Where (c_instruct_id is not null or c_instruct_id <> '''')
and len(c_instruct_id) = ''9''
and c_instruct_id not like ''[a-Z]%''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_instruct_name",banner.spriden_id,spriden_activity_date,section_instructor_assignment.instructor_employee_id
invalid instructor id format,USHE,Failure,,C42,C42c,Course,c_instruct_id,C_Instruct_ID is using the wrong institutional assigned alpha characters,"Into #c42c
FROM courses_' + @extract + '
Where (c_instruct_id is not null or c_instruct_id <> '''')
and c_instruct_id like ''[a-Z]%''
and left(c_instruct_id,1) not in (Select distinct I_Banner From Reference.dbo.Inst where i_id = @inst and Inactive <> ''Y'' and i_banner is not NULL)
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_instruct_name",banner.spriden_id,n/a,section_instructor_assignment.instructor_employee_id
missing instructor name,Database,Failure,,C43,C43a,Course,c_instruct_name,C_Instruct_Name is null or missing,"Into #c43a
FROM courses_' + @extract + '
Where (c_instruct_name is null or c_instruct_name = '''')
and c_inst <> ''63'' --USHE builds the file
--and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_instruct_name",banner.spriden_first_name,spriden_activity_date,employee.first_name
invalid instroctor name format,USHE,Failure,,C43,C43c,Course,c_instruct_name,C_Instruct_Name no special characters,"Into #c43c
FROM courses_' + @extract + '
Where (c_instruct_name is not null or c_instruct_name <>'''')
and c_instruct_name like ''%[^ -`a-Z]%''
and c_instruct_name not like ''%''''%'' -- this allows an apostrophe to be in the string
and c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_instruct_name",banner.spriden_first_name,n/a,employee.first_name
missing instruction type,Database,Failure,,C44,C44,Course,c_instruct_type,C_instruct_type cannot be blank or NULL,"INTO #c44
FROM courses_' + @extract + '
WHERE(c_instruct_type IS NULL OR c_instruct_type = '''')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_schd_code,ssbsect_activity_date,student_section.section_format_type_code
invalid instruction type format,USHE,Failure,,C44,C44a,Course,c_instruct_type,Checking for valid values for c_instruct_type.,"INTO #c44a
FROM courses_' + @extract + '
WHERE c_instruct_type not in (Select distinct Instruct_Type_Code From Reference.dbo.Instruct_Type where Inactive <> ''Y'')
and (c_instruct_type IS NOT NULL OR c_instruct_type <> '''')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_schd_code,ssbsect_activity_date,student_section.section_format_type_code
missing department code,Database,Failure,,C46,C46,Course,c_dept,Department exists,"INTO #c46
FROM courses_' + @extract + '
WHERE c_inst = @inst
AND c_instance = @instance
and c_inst <> ''63'' --we populate it, they do not send it to us
and (C_dept is null or c_dept= '''')
GROUP BY c_inst, c_crs_sbj, c_crs_num, c_crs_sec, c_dept
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scbcrse_dept_code,scbcrse_activity_date,student_section.academic_department_id
invalid department due to non-alpha characters,Database,Failure,,C46,C46a,Course,c_dept,C_Dept Should only contain Alpha,"Into #c46a
FROM courses_' + @extract + '
Where (c_dept is not null or c_dept <>'''')
and c_dept like ''%[^a-Z]%''
--c_extract = ''3''
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_college",banner.scbcrse_dept_code,scbcrse_activity_date,student_section.academic_department_id
invalid gen ed format,USHE,Failure,,C47,C47b,Course,c_gen_ed,Check for valid c_gen_ed values,"INTO #c47b
FROM courses_' + @extract + '
WHERE c_gen_ed not IN (select distinct general_ed_code from Reference.dbo.General_ED where Inactive <> ''Y'')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrattr_attr_code,n/a,student_section.attribute_code
missing destination type,USHE,Failure,,C48,C48a,Course,c_dest_site,"C_Dest_Site if not null or blank, make sure it is in Reference.dbo.Highschools","Into #c48a
FROM courses_' + @extract + '
Where (c_dest_site is not null or c_dest_site <>'''')
and c_dest_site not in (select distinct hs_act_code from reference.dbo.highschools)
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_budget_code","banner.ssrsccd_sccd_code, banner.ssbsect_schd_code, banner.ssbsect_insm_code",n/a,"student_section.section_format_type_code, student_section.instruction_method_code, missing budget code"
missing class size,Database,Failure,,C49,C49a,Course,c_class_size,C49A FTL Missing Class Size,"INTO #c49a
FROM courses_' + @extract + '
WHERE (C_CLASS_SIZE is null or c_class_size = ''0'')
AND c_instance = @instance
and c_inst = @inst
and c_inst != ''63''
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_enrl,ssbsect_activity_date,student_section.class_size
invalid class size,Database,Failure,,C49,C49b,Course,c_class_size,C_Class_Size Invalid,"Into #c49b
FROM courses_' + @extract + '
Where (cast(C_CLASS_SIZE as float) = ''''
or len(C_CLASS_SIZE) > ''4''
or cast(C_CLASS_SIZE as float) > ''9999''
or cast(C_CLASS_SIZE as float) < ''0''
or C_CLASS_SIZE like ''%[^0-9]%'' )
and C_CLASS_SIZE <> ''0''
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_enrl,ssbsect_activity_date,student_section.class_size
class size and enrolled students don't align,USHE,Failure,,C49,C49c,Course,c_class_size,C_CLASS_SIZE Number of Students Enrolled,"INTO #c49c
FROM courses_' + @extract + ', student_courses_' + @extract + '
WHERE c_inst = @inst
AND c_instance = @instance
and c_key = sc_c_key
group by c_inst, c_year, c_term, c_extract, c_crs_sbj, c_crs_num, c_crs_sec, c_class_size
Having count(sc_id) <> c_class_size
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_enrl,n/a,student_section.class_size
invalid class level or missing class level,USHE,Failure,,C51,C51a,Course,c_level,C_LEVEL classes,"INTO #c51a
FROM courses_' + @extract + '
WHERE (c_level NOT IN (''R'',''U'',''G'')
or c_level is null or c_level='''')
AND c_instance = @instance
AND c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scrlevl_levl_code,n/a,"student_section.course_number, student_section.subject_code"
invalid remedial level,USHE,Failure,,C51,C51b,Course,c_level,C_LEVEL remedial,"NTO #c51b
FROM courses_' + @extract + '
WHERE c_level=''R''
AND (c_crs_sbj NOT IN (''MATH'',''MAT'',''ENGL'',''RDG'',''WRTG'',''ESL'')
AND (concat(c_crs_sbj,c_crs_num,c_inst) not in (''ENGH08904027'', ''SPED01003677'')) --added 20190124 EH
AND (concat(c_crs_sbj,c_inst) not in (''IEP3678'', ''FESL3678''))) --added 20190124 EH
AND c_inst = @inst
AND c_instance = @instance
GROUP BY c_inst, c_year, c_term, c_extract, c_crs_sbj, c_crs_num, c_crs_sec, c_level
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.scrlevl_levl_code,n/a,"student_section.course_number, student_section.subject_code"
missing course reference number,Database,Failure,,C52,C52a,Course,c_crn,Missing Course Reference Number,"INTO #c52a
FROM courses_' + @extract + '
WHERE (c_crn IS NULL OR c_crn = '''')
and c_inst <> ''63'' -- USHE generates the file for them
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_dept",banner.ssbsect_crn,ssbsect_activity_date,student_section.course_reference_number
invalid course reference number,Database,Failure,,C52,C52b,Course,c_crn,Invalid Course Reference Number,"INTO #c52b
FROM courses_' + @extract + '
Where (cast(c_crn as float) = ''''
or len(c_crn) > ''5''
or cast(c_crn as float) > ''99999''
or cast(c_crn as float) < ''0''
or c_crn like ''%[^0-9]%'' )
and c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec, c_dept",banner.ssbsect_crn,ssbsect_activity_date,student_section.course_reference_number
duplicate course reference number,Database,Failure,,C52,C52c,Course,c_crn,Invalid Course Reference Number,"INTO #c52c
FROM courses_' + @extract + '
WHERE c_inst <> ''3675'' --Exclude UU as they use PeopleSoft and not Banner
and c_inst <> ''63'' --Exclude USUE, because USHE generates their file
and c_instance = @instance
and c_inst = @inst
Group by c_inst, c_crn
Having Count (*) > ''1''
Order by c_crn",banner.ssbsect_crn,ssbsect_activity_date,student_section.course_reference_number
graduation id is not in students table,Database,Failure,,"G02, G21","G02b, G21e",Graduation,"g_id, g_banner_id",ID from graduation file is not in students file,"Into #g02b
From graduation_ext'+@year+' g
left join Production.dbo.Students s on (g.g_inst = s.s_inst and g.g_id = s.s_id and s.s_first = g.g_first and s.s_last = g.g_last)
Where s.s_extract = ''e''
and (s.s_id is null or s.s_first is null or s.s_last is null)
and g_inst = @ginst","banner.spbpers_ssn, banner.spriden_id","spbpers_activity_date, spriden_activity_date","student.student_id, student.ssn"
first name too long,USHE,Failure,,G03,G03e,Graduation,g_first,G_First name too long,"into #g03e
from graduation_ext'+@year+'
where len(g_first) > ''15''
and g_inst = @ginst
Order by g_banner_id",banner.spriden_first_name,spriden_activity_date,student.first_name
middle name too long,USHE,Failure,,G03,G03g,Graduation,g_middle,G_Middle too long,"into #g03g
from graduation_ext'+@year+'
where len(g_middle) > ''15''
and g_inst = @ginst
Order by g_banner_id",banner.spriden_mi,spriden_activity_date,student.middle_name
suffix too long,USHE,Failure,,G03,G03i,Graduation,g_suffix,G_Suffix name too long,"into #g03i
from graduation_ext'+@year+'
where len(g_suffix) > ''4''
and g_inst = @ginst
Order by g_banner_id",banner.spbpers_name_suffix,spbpers_activity_date,student.name_suffix
graudation date is out of range,Database,Failure,,G08,G08b,Graduation,g_date,G_Date out of IPEDS range,"into #g08b
from graduation_ext'+@year+'
where (g_date > ''20''+right(g_fis_year,2)+''0630''
or g_date < ''20''+left(g_fis_year,2)+''0701'')
and g_inst = @ginst
Order by g_banner_id",banner.shrdgmr_grad_date,shrdgmr_activity_date,degrees_awarded.graduation_date
invalid CIP,Database,Failure,,G09,G09a,Graduation,g_cip,G_CIP Invalid,"into #g09a
from graduation_ext'+@year+'
where g_cip not in (select distinct cip_code from reference.dbo.cip where cip_code is not null and Inactive <> ''Y'')
and g_inst = @ginst
Order by g_banner_id",banner.stvmajr_cipc_code,stvmajr_activity_date,major.cip_code
missing degree type,Database,Failure,,G10,G10a,Graduation,g_deg_type,G_Deg_Type Missing,"into #g10a
from graduation_ext'+@year+'
where (g_deg_type is null or g_deg_type = '''')
and g_inst = @ginst
Order by g_banner_id",banner.shrdgmr_degc_code,shrdgmr_activity_date,"degrees_awarded.degree_id, degree_status_code = 'AW'"
invalid degree type,Database,Failure,,"G10, G16","G10b, G16a",Graduation,"g_deg_type, g_prev_deg_type",DEG_Type Invalid,"into #g10b
from graduation_ext'+@year+'
--where NOT EXISTS (SELECT INST,CIP,DEG_TYPE from reference.dbo.program_of_study)
where g_deg_type NOT IN (Select distinct g_deg_type from Reference.dbo.Degree_Type where Inactive = ''N'')
and g_inst = @ginst
Order by g_banner_id",banner.shrdgmr_degc_code,shrdgmr_activity_date,"degrees_awarded.degree_id, degree_status_code = 'AW'"
Transfer hours over 300 credits,USHE,Failure,,G12,G12b,Graduation,g_trans_total,G_Trans_Total seems excessive when over 300.0,"Into #g12b
From graduation_ext'+@year+'
Where cast(g_trans_total as float) > ''300.0''
and g_inst = @ginst
Order by g_banner_id",sum(shrtgpa_hours_earned),shrtgpa_activity_date,"""Add transfer_cumulative_ap_credits_earned to student_term_level,
Add transfer_cumulative_clep_credits_earned to student_term_level"""
